part_number,assy_part_number,name,ipl_num,assy_ipl_num,eff_code,units_assy,log_card,repair,is_bush,bush_ipl_num
PNE104003-013,,CONTROL PLATE, 1-10,,,1,,,,
MS17986C616,,PIN QUICK RELEASE, 1-20,,,1,,,,
2301-0101-001,,STREAMER GAUTION TAG, 1-30,,,1,,,,
170-70274-001,,BOLT, 1-40,,,1,1,,,
MS24665-153,,PIN COTTER, 1-50,,,1,,,,
PE22072L5,,NUT CASTELLATED SELF-LOCKING, 1-60,,,1,,,,
PE24030K1052201,,WASHER FLAT, 1-70,,,1,,,,
170-70279-001,,WASHER FLAT, 1-80,,,1,,,,
190-70288-001,,BONDING SUPPORT, 1-90,,,1,,,,
MS21042L3,,NUT SELF LOCKING,1-100,,,1,,,,
NAS1149F0332P,,WASHER FLAT,1-110,,,2,,,,
AN3-5A,,BOLT,1-120,,,1,,,,
LN9264-10X160,,JUMPER ASSY,1-130,,,1,,,,
MS21042L4,,NUT SELF-LOCKING,1-140,,,1,,,,
NAS1149F0432P,,WASHER FLAT,1-150,,,1,,,,
AN4-4A,,BOLT,1-160,,,1,,,,
MS35338-44,,WASHER SPLIT,1-170,,,1,,,,
MS21042L4,,NUT SELF-LOCKING,1-180,,,1,,,,
NAS1149F0432P,,WASHER FLAT,1-190,,,1,,,,
NAS1197-416,,WASHER FLAT,1-200,,,1,,,,
AN4-6A,,BOLT HEXAGON HEAD,1-210,,,1,,,,
MS35338-44,,WASHER SPLIT,1-220,,,1,,,,
NAS1197-416L,,WASHER FLAT,1-230,,,1,,,,
PE27019RE6AC,,CLAMP,1-240,,,2,,,,
AN3C3A,,BOLT HEXAGON,1-250,,,2,,,,
NAS1149C0332R,,WASHER FLAT,1-260,,,2,,,,
190-70269-001,,BOLT,1-270,,,2,,,,
MS24665-153,,PIN COTTER,1-280,,,2,,,,
PE22072L5,,NUT CASTELLATED SELF-LOCKING,1-290,,,2,,,,
NAS1149C0532R,,WASHER FLAT,1-300,,,2,,,,
MS24665-86,,PIN COTTER,1-310,,,2,,,,
PE22078L4,,NUT CASTELLATED SELF-LOCKING,1-320,,,2,,,,
190-70175-001,,WASHER,1-330,,,2,,,,
MS24665-153,,PIN COTTER,1-340,,,1,,,,
PE22078L5,,NUT CASTELLATED SELF-LOCKING,1-350,,,1,,,,
PE24030K1052202,,WASHER FLAT,1-360,,,1,,,,
190-70285-001,,BOLT,1-370,,,1,,,,
170-70267-001,,SLEEVE,1-380,,,1,,,,
190-70267-003,,LEVER,1-390,,,1,,,,
MS24665-153,,PIN COTTER,1-400,,,2,,,,
MS24665-153,,PIN COTTER,1-401,,,1,,,,
PE22078L4,,NUT CASTELLATED SELF-LOCKING,1-410,,,1,,,,
PE22078L4,,NUT CASTELLATED SELF-LOCKING,1-411,,,1,,,,
190-70175-001,,WASHER,1-420,,,2,,,,
MS24665-86,,PIN COTTER,1-430,,,1,,,,
MS24665-86,,PIN COTTER,1-431,,,1,,,,
PE22078L3,,NUT CASTELLATED SELF-LOCKING,1-440,,,1,,,,
PE22078L3,,NUT CASTELLATED SELF-LOCKING,1-441,,,1,,,,
NAS1149F03825,,WASHER FLAT,1-450,,,2,,,,
ANS14,,BOLT HEXAGON HEAD,1-460,,,2,,,,
190-70266-001,,SLEEVE,1-470,,,1,,,,
190-70265-001,,AXLE,1-480,,,1,,,,
PNE104001-002,,WAX HEAT SHRINKABLE,1-490,,,2,,,,
MS20995C20,,LOCK WIRE,1-500,,,AR,,,,
80-019-01,,PROXIMITY SENSOR SEE CMM 32-60-01 FOR DET,1-510,,,2,,,,
2821-8025,190-70260-405,LOWER STAY,1-525,1-520,,1,1,,,
190-70262-005,190-70260-407,LOWER STAY,1-525A,1-520A,,1,1,,,
190-70262-007,190-70260-409,LOWER STAY,1-525B,1-520B,,1,1,,,
170-70266-001,,PIN,1-530,,,1,,,,
170-70266-301,,PIN,1-531,,,1,,,,
170-70266-303,,PIN,1-531A,,,1,,,,
170-70278-903,,BUSHING,1-540,,,2,,,1,1-540
170-70278-301,,BUSHING,1-541,,,2,,,1,1-540
190-70275-001,,BUSHING,1-550,,,1,,,1,1-550
190-70275-301,,BUSHING,1-551,,,1,,,1,1-550
190-70275-303,,BUSHING,1-551A,,,1,,,1,1-550
170-70268-001,,BUSHING,1-560,,,1,,,1,1-560
170-70268-301,,BUSHING,1-561,,,1,,,1,1-560
190-70263-001,,BUSHING,1-570,,,1,,,1,1-570
190-70263-301,,BUSHING,1-571,,,1,,,1,1-570
190-70263-303,,BUSHING,1-571A,,,1,,,1,1-570
190-70264-001,,BUSHING,1-580,,,1,,,1,1-580
190-70264-301,,BUSHING,1-581,,,1,,,1,1-580
190-70264-303,,BUSHING,1-581A,,,1,,,1,1-580
MS21209F04-10P,,INSERT THREADED,1-585,,,1,,,,
5035-0403,,BUSHING,1-586,,,1,,,1,1-586
5035-0403FS01,,BUSHING,1-587,,,1,,,1,1-586
5035-0403FS02,,BUSHING,1-588,,,1,,,1,1-586
MS15001-1P,,FITTING LUBRICATION,1-590,,,1,,,,
AS15001-1P,,FITTING LUBRICATION,1-590A,,,1,,,,
282101,,WASHER IDENTIFICATION,1-600,,,1,,,,
170-70272-001,,BUSHING,1-610,,,1,,,1,1-610
170-70272-301,,BUSHING,1-611,,,1,,,1,1-610
170-70286-301,,BUSHING,1-615,,,1,,,1,1-615
170-70286-303,,BUSHING,1-615A,,,1,,,1,1-615
2821-8023,,BOLT,1-620,,,1,,,,
190-70280-001,,BOLT,1-620A,,,1,,,,
MS24665-153,,PIN COTTER,1-630,,,1,,,,
PE22072L5,,NUT,1-640,,,1,,,,
PE24030K1052201,,WASHER FLAT,1-650,,,1,,,,
170-70279-001,,WASHER FLAT,1-660,,,1,,,,
MS15001-1,,FITTING LUBRICATION,1-670,,,1,,,,
AS15001-1B,,FITTING LUBRICATION,1-670A,,,1,,,,
282101,,WASHER IDENTIFICATION,1-680,,,1,,,,
190-70255-001,,TARGET SENSOR,1-690,,,1,,,,
190-70255-002,,TARGET SENSOR,1-700,,,1,,,,
MS24665-69,,PIN COTTER,1-710,,,2,,,,
PE22078L3,,NUT CASTELLATED SELF-LOCKING,1-720,,,2,,,,
NAS1149C0363R,,WASHER FLAT,1-730,,,4,,,,
NAS1149C0332R,,WASHER FLAT,1-730A,,,6,,,,
NAS6703D7,,BOLT HEXAGON HEAD,1-740,,,2,,,,
170-70265-001,,PIN THREADED,1-750,,,1,,,,
MS24665-153,,PIN COTTER,1-760,,,1,,,,
PE22072L4,,NUT CASTELLATED SELF-LOCKING,1-770,,,1,,,,
NAS1149C0432R,,WASHER FLAT,1-780,,,1,,,,
170-70257-001,,WASHER LAMINATED,1-790,,,1,,,,
2821-802,190-70252-405,UPPER STAY,1-805,1-800,,1,1,,,
190-70254-005,190-70252-407,UPPER STAY,1-805A,1-800A,,1,1,,,
190-70254-007,190-70252-409,UPPER STAY,1-805B,1-800B,,1,1,,,
2821-8024,,BUSHING,1-810,,,2,,,1,1-810A
190-70281-001,,BUSHING,1-810A,,,2,,,1,1-810A
190-70281-301,,BUSHING,1-811,,,2,,,1,1-810A
190-70281-303,,BUSHING,1-811A,,,2,,,1,1-810A
170-70271-001,,BUSHING,1-820,,,2,,,1,1-820
170-70271-301,,BUSHING,1-821,,,2,,,1,1-820
170-70271-303,,BUSHING,1-821A,,,2,,,1,1-820
170-70276-001,,BUSHING,1-830,,,2,,,1,1-830
170-70276-301,,BUSHING,1-831,,,2,,,1,1-830
170-70276-303,,BUSHING,1-831A,,,2,,,1,1-830
170-70251-301,,BUSHING,1-840,,,1,,,1,1-840
170-70275-301,,BUSHING,1-842,,,2,,,1,1-842
