"id","partnumber","description","manufacturer","lib","aircraft","created_at","updated_at"
"396","44794","AC ELECTRICAL MOTOR","AUXILEC","134",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"397","A25474070","RESTRICTOR","SAFRAN LS","135",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"398","C24644070","RESTRICTOR VALVE, NLG & MLG","SAFRAN LS","135",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"399","D22709000","ACTUATING CYLINDER ASSEMBLY, NLG","SAFRAN LS","135",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"400","D22709500","ACTUATING CYLINDER ASSEMBLY, NLG","SAFRAN LS","135",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"401","D22847000","VALVE BOX, NLG","SAFRAN LS","135",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"402","3214102","SUPPLY REGULATING VALVE","HONEYWELL","136",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"403","B03AA1020","VALVE, DUAL DISTRIBUTOR","LIEBHERR","137",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"404","B03AA1031","VALVE, DUAL DISTRIBUTOR","LIEBHERR","137",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"405","3290288","TEMPERATURE CONTROL VALVE","HONEYWELL","138",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"406","24125-000","ACTUATOR, MLG RETRACT","SAFRAN LS","139",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"407","201106001","SHOCK ABSORBER","SAFRAN LS","140",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"408","104273005","STEERING VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"409","104273006","STEERING VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"410","104273007","STEERING VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"411","104273008","STEERING VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"412","104733001","SHUTOFF VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"413","104733002","SHUTOFF VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"414","104733003","SHUTOFF VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"415","104801002","COMPENSATOR","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"416","200662001","DIFFERENTIAL BOX","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"417","200662002","DIFFERENTIAL BOX","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"418","201138002","NOSE LANDING GEAR","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"419","816601","HIGH STAGE BLEED VALVE","HAMILTON SUNDSTRAND","142",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"420","1170B0000","STRUT, NLG","LIEBHERR","143",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"421","1170C0000","STRUT, NLG","LIEBHERR","143",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"422","1172B0000","MAIN DRAG STRUT, NLG","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"423","1172C0000","MAIN DRAG STRUT, NLG","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"424","1172D0000","MAIN DRAG STRUT, NLG","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"425","1173B0000","AUXILIARY DRAG STRUT, NLG","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"426","1175B0000","UNLOCKING ACTUATOR","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"427","1300B0000","NLG MANOEUVRING ACTUATOR","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"428","2309-2002","MAIN LANDING GEAR, LH","ELEB","145",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"429","2309-2005","SHOCK ABSORBER ASSEMBLY, MLG","ELEB","145",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"430","2309-3002","MAIN LANDING GEAR, LH","ELEB","145",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"431","2309-3100","MAIN LANDING GEAR, LH","ELEB","145",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"432","2309-4002","MAIN LANDING GEAR, LH","ELEB","145",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"433","1170A1800","FEEDBACK UNIT POTENTIOMETER","LIEBHERR","146",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"434","1170A2900","FEEDBACK UNIT SENSOR","LIEBHERR","146",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"435","1170A3500","FEEDBACK UNIT POTENTIOMETER","LIEBHERR","146",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"436","1170A3600","FEEDBACK UNIT SENSOR","LIEBHERR","146",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"437","2233A0000","STRUT, NLG","LIEBHERR","146",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"438","2666A0000","STRUT, NLG","LIEBHERR","146",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"439","2309-2500","MAIN SIDE STRUT, MLG","ELEB","147",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"440","2309-3500","MAIN SIDE STRUT, MLG","ELEB","147",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"441","2309-2600","SECONDARY SIDE STRUT, MLG","ELEB","148",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"442","23040-000","STEERING CONTROL VALVE, NLG","SAFRAN LS","149",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"443","49103","WIRING HARNESS ASSEMBLY, MLG","GOODRICH","150",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"444","49313","WIRING HARNESS ASSEMBLY, MLG","GOODRICH","150",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"445","3289674","ONE INCH DIAMETER BLEED AIR SHUTOFF VALVE","HONEYWELL","151",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"446","41050","SHOCK STRUT ASSEMBLY, MLG, DRESSED","GOODRICH","153",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"447","41060","SHOCK STRUT ASSEMBLY, MLG, DRESSED","GOODRICH","153",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"448","41300","SIDE BRACE ASSEMBLY, LOWER, MLG","GOODRICH","154",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"450","41350","SIDE BRACE ASSEMBLY, UPPER, MLG","GOODRICH","154",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"451","41400","LOCK LINK ASSEMBLY, MLG","GOODRICH","154",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"452","41600","LOCK ACTUATOR ASSEMBLY, MLG","GOODRICH","155",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"453","41500","RETRACTION ACTUATOR ASSEMBLY, MLG","GOODRICH","156",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"454","41700","ELECTRICAL HARNESS ASSEMBLY, MLG","GOODRICH","157",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"455","41700S2100","ELECTRICAL HARNESS ASSEMBLY, MLG","GOODRICH","157",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"456","49050","SHOCK STRUT ASSEMBLY DRESSED, MLG","GOODRICH","158",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"458","10018310","EMERGENCY MLG SELECTOR VALVE","SOUTH BEND CONTROL","159",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"459","22455-000","ACTUATOR, MLG ASSIST","SAFRAN LS","160",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"460","QA07739","RESERVOIR PRESSURISATION UNIT","PALL AEROSPACE","161",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"461","7301","BOOTSTRAP RESERVOIR, HYDRAULIC","PNEUDRAULICS","162",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"462","7302-","BOOTSTRAP RESERVOIR, HYDRAULIC","PNEUDRAULICS","162",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"463","7303","BOOTSTRAP RESERVOIR, HYDRAULIC","PNEUDRAULICS","162",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"464","8300","STICK PUSHER ACTUATOR","SAGEM","163",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"465","39-685","ANTISKID VALVE MANIFOLD (AVM)","CRANE","164",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"467","114062001","SHIMMY RESTRICTOR","SAFRAN LS","165",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"468","114200001","SHIMMY RESTRICTOR","SAFRAN LS","165",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"469","201013001","NOSE LANDING GEAR","SAFRAN LS","165",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"470","C24295350","THREE-WAY SOLENOID VALVE","SAFRAN LS","166",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"471","418800","AILERON POWER CONTROL ACTUATOR","PARKER","167",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"472","3215358","STARTER SHUTOFF VALVE","HONEYWELL","168",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"473","395800","SPOILER LIFT DUMP SOLENOID VALVE ASSEMBLY","PARKER","169",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"474","23100-300","SHOCK STRUT ABSORBER, NLG","SAFRAN LS","170",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"475","887031","HYDRAULIC PUMP","EATON AEROSPACE","171",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"476","FE193","FLAP CONTROL ACTUATOR","RATIER FIGEAC","172",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"477","FE231","FLAP CONTROL ACTUATOR","RATIER FIGEAC","172",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"478","D22700500","SHOCK ABSORBER, NLG","SAFRAN LS","173",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"479","3290196","ISOLATION VALVE","HONEYWELL","174",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"480","23700","MLG DAMPER ASSY","GOODRICH","175",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"481","23100-000","SHOCK STRUT ASSEMBLY, NLG","SAFRAN LS","176",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"482","23110-000","SHOCK ABSORBER ASSY ,NLG","SAFRAN LS","176",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"483","22420-000","SHOCK ABSORBER ASSY MLG","SAFRAN LS","177",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"484","22730-000","LEG ASSY, MLG-LH","SAFRAN LS","177",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"485","22731-000","LEG ASSY, MLG-RH","SAFRAN LS","177",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"486","23200-000","DRAG BRACE ASSY, NLG","SAFRAN LS","178",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"487","53000","STEERING MANIFOLD ASSY, NLG","GOODRICH","179",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"488","21800","HARNESS, DOWNLOCK A, MLG","SAFRAN LS","180",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"489","21801","HARNESS, INBD L/H, MLG","SAFRAN LS","180",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"490","21802","HARNESS, OUTBD L/H, MLG","SAFRAN LS","180",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"491","21803","HARNESS, INBD R/H, MLG","SAFRAN LS","180",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"492","21804","HARNESS, OUTBD R/H, MLG","SAFRAN LS","180",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"493","22800","HARNESS, L/H, NLG","SAFRAN LS","180",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"494","22801","HARNESS, R/H, NLG","SAFRAN LS","180",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"495","1285A0100","SWIVEL VALVE ASSEMBLY, L/H","SAFRAN LS","181",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"496","1285A0300","SWIVEL VALVE ASSEMBLY, R/H","SAFRAN LS","181",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"497","1287A0000","STEERING ACTUATOR ASSEMBLY, L/H","SAFRAN LS","181",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"498","1288A0000","STEERING ACTUATOR ASSEMBLY, R/H","SAFRAN LS","181",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"499","1289A0000","STEERING MANIFOLD ASSEMBLY","SAFRAN LS","181",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"500","22175","NLG STRUT ASSEMBLY","SAFRAN LS","182",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"501","26200","NLG TORQUE TUBE ASSEMBLY","SAFRAN LS","182",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"502","21100","MAIN LANDING GEAR ASSEMBLY, L/H","SAFRAN LS","183",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"503","22400","NLG RETRACTION ACTUATOR ASSEMBLY","SAFRAN LS","184",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"504","21600","MLG RETRACTION ACTUATOR ASSEMBLY, L/H","SAFRAN LS","185",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"505","22500","DRAG BRACE ASSEMBLY, NLG","SAFRAN LS","186",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"506","3215394","MODULATING SHUTOFF VALVE","HONEYWELL","187",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"507","23200-300","BRACE ASSEMBLY, NLG","SAFRAN LS","188",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"508","2323H000","BYPASS VALVE","HONEYWELL","189",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"509","200814001","NLG DRAG BRACE ASSEMBLY","SAFRAN LS","190",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"510","7200","NLG DRAG BRACE ASSEMBLY","SAFRAN LS","190",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"511","104467009","MLG RETRACTION ACTUATOR ASSEMBLY, L/H","SAFRAN LS","191",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"512","104467010","MLG RETRACTION ACTUATOR ASSEMBLY, R/H","SAFRAN LS","191",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"513","6500","MLG RETRACTION ACTUATOR ASSEMBLY","SAFRAN LS","191",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"514","200922001","MAIN LANDING GEAR ASSEMBLY, L/H","SAFRAN LS","192",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"515","200922002","MAIN LANDING GEAR ASSEMBLY, R/H","SAFRAN LS","192",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"516","6100","MAIN LANDING GEAR ASSEMBLY, L/H","SAFRAN LS","192",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"517","2095E010800","OUTFLOW VALVE","LIEBHERR","193",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"518","2095E020800","OUTFLOW VALVE","LIEBHERR","193",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"519","2095F010800","OUTFLOW VALVE","LIEBHERR","193",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"520","2095F020800","OUTFLOW VALVE","LIEBHERR","193",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"521","2095F030800","OUTFLOW VALVE","LIEBHERR","193",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"522","31-158","PNEUMATIC DE-ICER BOOT","AERAZUR","194",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"523","32-158","PNEUMATIC DE-ICER BOOT","AERAZUR","194",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"524","32P158-1","PNEUMATIC DE-ICER BOOT","AERAZUR","194",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"525","32P158-2","PNEUMATIC DE-ICER BOOT","AERAZUR","194",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"526","32P158-22","PNEUMATIC DE-ICER BOOT","AERAZUR","194",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"527","52SP158-20","PNEUMATIC DE-ICER BOOT","AERAZUR","194",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"529","32-172","PNEUMATIC DE-ICER BOOT","AERAZUR","195",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"531","32P172-42","PNEUMATIC DE-ICER BOOT","AERAZUR","195",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"533","32P172-5","PNEUMATIC DE-ICER BOOT","AERAZUR","195",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"535","32P172-6","PNEUMATIC DE-ICER BOOT","AERAZUR","195",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"537","52SP172-41","PNEUMATIC DE-ICER BOOT","AERAZUR","195",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"538","22405-000","UPLOCK UNIT","SAFRAN LS","196",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"540","23265-000","UPLOCK ELECTRICAL HARNESS, NLG","SAFRAN LS","196",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"541","2096G010800","PNEUMATIC OUTFLOW VALVE","LIEBHERR","197",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"542","2096G020800","PNEUMATIC OUTFLOW VALVE","LIEBHERR","197",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"543","2096H010800","PNEUMATIC OUTFLOW VALVE","LIEBHERR","197",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"544","2096H020800","PNEUMATIC OUTFLOW VALVE","LIEBHERR","197",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"545","2096H030800","PNEUMATIC OUTFLOW VALVE","LIEBHERR","197",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"546","2096H040800","PNEUMATIC OUTFLOW VALVE","LIEBHERR","197",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"547","D22698500","LEG ASSEMBLY","SAFRAN LS","198",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"548","D22699500","LEG STRUCTURE, NLG","SAFRAN LS","198",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"549","D22870500","LEG STRUCTURE COVERING, NLG","SAFRAN LS","198",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"550","52000","SHOCK STRUT ASSEMBLY DRESSED, NLG","GOODRICH","199",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"551","52350","STEERING ACTUATOR ASSEMBLY","GOODRICH","199",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"552","D22703500","DRAG BRACE ASSEMBLY","SAFRAN LS","200",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"553","201401206","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"554","201401207","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"555","201402205","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"556","201402206","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"557","201520001","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"558","201520002","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"559","201520003","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"560","201520004","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"561","201520005","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"562","201520006","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"563","201520007","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"564","201520008","MLG AND AXLE HARNESS 1M AND 2M","ULTRA ELECTRONICS","201",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"565","N/A","ATR42 STRUCTURE REPAIR MANUAL","ATR","202",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"566","100-25111Y","DUAL BRAKE MASTER CYLINDER","MAGNAGHI MILANO","203",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"567","D23105500","UPPER EXTERNAL ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"568","D23106500","UPPER EXTERNAL ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"569","D23107500","LOWER EXTERNAL ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"570","D23108500","LOWER EXTERNAL ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"571","D23109500","UPPER INTERNAL ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"572","D23110500","UPPER INTERNAL ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"573","D23111500","LOWER INTERNAL ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"574","D23112500","LOWER INTERNAL ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"575","D23505000","ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"576","D23506000","ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"577","D23570000","ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"578","D23573000","ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"579","D23574000","ELECTRICAL HARNESS","SAFRAN LS","204",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"580","24260-310","SIDE BRACE ASSY, MLG","SAFRAN LS","205",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"581","C23843","PROXIMITY SWITCH UNIT","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"582","C23843-10","PROXIMITY SWITCH UNIT","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"583","C23925","TRUSS ACTUATING CYLINDER ASSEMBLY","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"584","C23925-11","TRUSS ACTUATING CYLINDER ASSEMBLY","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"585","C23926","TRUSS ACTUATING CYLINDER ASSEMBLY","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"586","C23926-11","TRUSS ACTUATING CYLINDER ASSEMBLY","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"587","C23927","TRUSS ACTUATING CYLINDER","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"588","C23927-11","TRUSS ACTUATING CYLINDER","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"589","C23928","TRUSS ACTUATING CYLINDER","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"590","C23928-11","TRUSS ACTUATING CYLINDER","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"591","D22073","PROXIMITY SWITCH UNIT","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"592","D22073300","PROXIMITY SWITCH UNIT","SAFRAN LS","206",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"593","3289706","TWO INCH DIAMETER ECU ISOLATION VALVE","HONEYWELL","207",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"594","320482","VALVE, SOLENOID","HONEYWELL","208",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"596","C20327000","VALVE, SERVO","SAFRAN LS","209",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"597","363500","FLAP TRANSMISSION BRAKE","PARKER","210",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"599","130008T","ACTUATOR ASSEMBLY","ITT AEROSPACE","211",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"600","2940003","MOTOR OPERATED SHUTOFF VALVE","PARKER","211",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
